"","passanger","weather","time","couponType","expiration","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","Restaurant20To50","toCoupon","Y"
"23","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","1"
"24","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"25","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","1"
"26","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"27","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"28","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"29","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"30","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","1"
"31","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"32","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","1"
"33","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"34","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","1"
"35","Alone","Sunny","10AM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"36","Alone","Sunny","6PM","Bar","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","1"
"37","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"38","Alone","Sunny","6PM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","0"
"39","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","more than 25min","0"
"40","Alone","Sunny","7AM","Bar","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","more than 25min","1"
"41","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"42","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","1"
"43","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","5min - 15min","1"
"44","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Bachelors degree","employed","Medium","never","less1","4~8","less1","15min - 25min","0"
"45","Alone","Sunny","2PM","Restaurant(<20)","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"46","Friend(s)","Sunny","10AM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"47","Friend(s)","Sunny","10AM","Bar","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","0"
"48","Friend(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","1"
"49","Friend(s)","Sunny","2PM","Coffee House","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"50","Friend(s)","Sunny","2PM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","1"
"51","Friend(s)","Sunny","2PM","Coffee House","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","0"
"52","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","1"
"53","Friend(s)","Sunny","6PM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","0"
"54","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","1"
"55","Friend(s)","Sunny","2PM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"56","Friend(s)","Sunny","2PM","Carry out & Take away","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","1"
"57","Alone","Sunny","10AM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"58","Alone","Sunny","6PM","Bar","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","0"
"59","Alone","Sunny","6PM","Restaurant(20-50)","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","0"
"60","Alone","Sunny","6PM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","0"
"61","Alone","Sunny","7AM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","more than 25min","0"
"62","Alone","Sunny","7AM","Bar","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","more than 25min","0"
"63","Alone","Sunny","7AM","Restaurant(20-50)","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","0"
"64","Alone","Sunny","7AM","Carry out & Take away","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","1"
"65","Alone","Sunny","7AM","Restaurant(<20)","1d","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","5min - 15min","0"
"66","Alone","Sunny","7AM","Coffee House","2h","40-50","Single","0","Some college - no degree","student","Low","never","4~8","1~3","never","15min - 25min","0"
"67","Alone","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"68","Friend(s)","Sunny","10AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"69","Friend(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"70","Friend(s)","Sunny","2PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"71","Friend(s)","Sunny","2PM","Coffee House","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"72","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"73","Friend(s)","Sunny","2PM","Carry out & Take away","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"74","Kid(s)","Sunny","10AM","Restaurant(<20)","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"75","Kid(s)","Sunny","10AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"76","Kid(s)","Sunny","10AM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"77","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"78","Kid(s)","Sunny","2PM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"79","Kid(s)","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","0"
"80","Alone","Sunny","6PM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"81","Alone","Sunny","6PM","Restaurant(20-50)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","0"
"82","Alone","Sunny","6PM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"83","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","more than 25min","0"
"84","Alone","Sunny","7AM","Bar","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","more than 25min","1"
"85","Alone","Sunny","7AM","Restaurant(20-50)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","1"
"86","Alone","Sunny","7AM","Carry out & Take away","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","0"
"87","Alone","Sunny","7AM","Restaurant(<20)","1d","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","5min - 15min","1"
"88","Alone","Sunny","7AM","Coffee House","2h","40-50","Married partner","1","Bachelors degree","employed","High","less1","1~3","1~3","less1","15min - 25min","0"
"89","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","0"
"90","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"91","Friend(s)","Sunny","10AM","Bar","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"92","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"93","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"94","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"95","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"96","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"97","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"98","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"99","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"100","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"101","Alone","Sunny","10AM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"102","Alone","Sunny","6PM","Bar","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"103","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"104","Alone","Sunny","6PM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"105","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","more than 25min","1"
"106","Alone","Sunny","7AM","Bar","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","more than 25min","0"
"107","Alone","Sunny","7AM","Restaurant(20-50)","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"108","Alone","Sunny","7AM","Carry out & Take away","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"109","Alone","Sunny","7AM","Restaurant(<20)","1d","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","5min - 15min","1"
"110","Alone","Sunny","7AM","Coffee House","2h","20-30","Single","0","Associates degree","student","Low","1~3","less1","1~3","1~3","15min - 25min","1"
"111","Alone","Sunny","2PM","Restaurant(<20)","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"112","Friend(s)","Sunny","10AM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"113","Friend(s)","Sunny","10AM","Bar","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"114","Friend(s)","Sunny","10AM","Carry out & Take away","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","0"
"115","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"116","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","0"
"117","Friend(s)","Sunny","2PM","Coffee House","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","1"
"118","Friend(s)","Sunny","2PM","Restaurant(<20)","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","1"
"119","Friend(s)","Sunny","6PM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","0"
"120","Friend(s)","Sunny","6PM","Restaurant(<20)","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","0"
"121","Friend(s)","Sunny","2PM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","0"
"122","Friend(s)","Sunny","2PM","Carry out & Take away","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","1"
"123","Alone","Sunny","10AM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","0"
"124","Alone","Sunny","6PM","Bar","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","1"
"125","Alone","Sunny","6PM","Restaurant(20-50)","1d","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","15min - 25min","0"
"126","Alone","Sunny","6PM","Coffee House","2h","20-30","Unmarried partner","0","Bachelors degree","student","Medium","1~3","gt8","4~8","less1","5min - 15min","0"
